condo,district,room_area,rental_rate
Yutitham Tower,Bang Bon,28,"10,000"
Yutitham Tower,Bang Bon,28,"10,000"
The Cube Pracha Uthit,Rat Burana,28,"1,950,000"
The Cube Pracha Uthit,Rat Burana,28,"1,950,000"
Porntaweewat Condo Town,Nong Khaem,14,"470,000"
Porntaweewat Condo Town,Nong Khaem,14,"470,000"
Porntaweewat Condo Town,Nong Khaem,14,"470,000"
Porntaweewat Condo Town,Nong Khaem,14,"470,000"
The Privacy Pracha Uthit - Suksawat,Rat Burana,33,"2,200,000"
The Privacy Pracha Uthit - Suksawat,Rat Burana,33,"2,200,000"
The Privacy Pracha Uthit - Suksawat,Rat Burana,33,"2,200,000"
The Privacy Pracha Uthit - Suksawat,Rat Burana,33,"2,200,000"
Yong Charoen Complex,Prawet,28,"3,200"
The Privacy Pracha Uthit - Suksawat,Rat Burana,33,"2,200,000"
The Privacy Pracha Uthit - Suksawat,Rat Burana,33,"2,200,000"
The Privacy Pracha Uthit - Suksawat,Rat Burana,33,"2,200,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
The Privacy Pracha Uthit - Suksawat,Rat Burana,33,"2,200,000"
The Privacy Pracha Uthit - Suksawat,Rat Burana,33,"2,200,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
The Privacy Pracha Uthit - Suksawat,Rat Burana,33,"2,200,000"
The Privacy Pracha Uthit - Suksawat,Rat Burana,33,"2,200,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
The Privacy Pracha Uthit - Suksawat,Rat Burana,33,"2,200,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
The Privacy Pracha Uthit - Suksawat,Rat Burana,33,"2,200,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
The Privacy Pracha Uthit - Suksawat,Rat Burana,33,"2,200,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
The Privacy Pracha Uthit - Suksawat,Rat Burana,33,"2,200,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
The Privacy Pracha Uthit - Suksawat,Rat Burana,33,"2,200,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
Yoolong Apartment,Pathum Wan,180,"50,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
Whizdom Sukhumvit 64,Phra Khanong,34,"2,970,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
Whizdom Sukhumvit 64,Phra Khanong,34,"2,970,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
Visunee Mansion,Pathum Wan,122,"25,000"
Whizdom Sukhumvit 64,Phra Khanong,34,"2,970,000"
Whizdom Sukhumvit 64,Phra Khanong,34,"2,970,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
Visunee Mansion,Pathum Wan,122,"25,000"
Whizdom Sukhumvit 64,Phra Khanong,34,"2,970,000"
Bangkok Horizon P 48,Phasi Charoen,53,"5,240,000"
Whizdom Sukhumvit 64,Phra Khanong,34,"2,970,000"
Whizdom Sukhumvit 64,Phra Khanong,34,"2,970,000"
Whizdom Sukhumvit 64,Phra Khanong,34,"2,970,000"
Whizdom Sukhumvit 64,Phra Khanong,34,"2,970,000"
Whizdom Sukhumvit 64,Phra Khanong,34,"2,970,000"
Whizdom Sukhumvit 64,Phra Khanong,34,"2,970,000"
Whizdom Sukhumvit 64,Phra Khanong,34,"2,970,000"
Tree View Yenarkard,Yan Nawa,400,"130,000"
