condo,address,rental_rate,condo_area
Yen Akard Garden,"
Yen Akat 3, Chong Nonsi, Yannawa, Bangkok 10120
",,
condo,address,room_area,rental_rate
Baan Samsen,"
Soi Atsani Damri, Thanon Nakhon Chai Si, Dusit, Bangkok 10300
",,
Yutitham Tower,"
73/2-106 เอกชัย 66 Bang Bon, Bangkok 10150
","50,28,30","10,000,6,000,6,500"
Sin Somboon Condominium,"
Thanon Khao, Wachira Phayaban, Dusit, Bangkok 10300
",,
Tubtim Mansion,"
Thanon Ekkachai, Khwaeng Chom Thong, Khet Chom Thong
","250,170,179,263,170,175,250,175,250,170,170,170,250","50,000,50,000,47,500,55,000,50,000,45,000,55,000,50,000,60,000,50,000,50,000,50,000,58,000"
Dusit Avenue,"
Thanon Sangkhalok, Wachira Phayaban, Dusit, Bangkok 10300
",,
Vibhavadi Center Condotel,"
Vibhavadirangsit 72, Khwaeng Sanambin, Khet Don Mueang
",,
Pong Thong Tower,"
Soi Chang Akat Uthit 8, Khwaeng Don Mueang, Khet Don Mueang
",,
iCondo Serithai Green Space,"
3/16,3/9,3/15,2/7 Thanon Seri Thai, Khwaeng Khlong Kum, Khet Bueng Kum
","31,29,23.39,23.43,27,29,31","8,900,8,500,8,000,7,000,7,000,8,500,8,900"
U Delight @ Bangson Station,"
1298 Thanon Krungthep-Nonthaburi, Khwaeng Bang Sue, Khet Bang Sue
","32,31,45,30,42,31,30,31,31,35,42,31,30,31,31,30.6","8,000,9,500,14,000,9,500,14,000,9,500,9,000,15,000,10,000,12,000,13,000,10,900,10,000,11,000,12,000,10,000"
We Condo Ekkamai - Ramindra,"
Pradist Manudharm 1 - Thanon Pradist Manudharm, Tha Raeng, Bang Khen, Bangkok 10220
","34.45,28,25,33,26,33,33,32,26,24,34,33,33.5,34,32.81,26,25.88,26,33","9,000,9,000,7,000,9,000,7,000,10,000,10,000,8,000,7,900,8,000,12,000,12,000,9,000,9,500,9,000,7,500,7,500,8,500,10,000"
Wish @ Samyan,"
72 ถนน สี่พระยา Khwaeng Maha Phruttharam, Khet Bang Rak
","36,43.64,39,68,35.27,39,36,34,40,82,35,36,35,35,80,80,37,36,36,46","18,000,25,000,18,000,30,000,20,000,19,000,18,000,18,000,17,000,39,000,17,500,18,000,18,000,18,000,39,000,39,000,16,000,17,000,17,000,23,000"
U Delight @ Bang Sue Station,"
42-314 Thanon Pracha Chuen, Khwaeng Bang Sue, Khet Bang Sue
","35,35,72,35,71,30,35,35,35,35,36,35,35,35,35,36","8,500,9,000,18,000,11,000,16,000,8,500,10,000,10,000,12,000,8,500,12,000,10,000,12,000,10,000,10,000,10"
U Delight 3 Prachachuen - Bang Sue,"
825-827 Thanon Pracha Chuen, Khwaeng Wong Sawang, Khet Bang Sue
","31.3,30,35,30.6,31.31,31,30,42.5,30,30,28,30,31,32,32,32,32,49.38,30.96,31","8,900,9,000,9,500,9,500,8,900,8,000,9,000,9,500,10,500,11,000,10,000,12,000,9,000,9,000,8,500,9,000,9,000,18,000,8,000,9,500"
Trinity Complex,"
150 Soi Naradhiwas Rajanagarindra 3, Khwaeng Silom, Khet Bang Rak
","210,215,177,210,350,150,350,210,175,170,210,170","70,000,65,000,60,000,70,000,150,000,50,000,100,000,75,000,60,000,65,70k,60,000"
Baan CK Apartment,"
2222/18 Soi Phayakkhaphon, Khwaeng Chong Nonsi, Khet Yan Nawa
",,
The Key Sathorn - Charoenraj,"
3725-4334 ถนน เจริญราษฎร์ Khwaeng Bang Khlo, Khet Bang Kho Laem
","33,55,37.67,57,34.6,29,55,34.6,33,24.22,55.6,36,34,33,33,55,33.1,33,37.67,57","13,000,18,000,18,000,28,000,16,000,13,000,36,000,16,000,12,000,19,000,24,000,18,000,16,000,13,000,13,000,38,000,15,000,15,000,18,000,25,000"
Vertiq,"
Thanon Si Phraya, Maha Phruttharam, Bang Rak, Bangkok 10500
","70,38.07,56,64,73,68,31,74,38,72,38,70,56,70,57,67,58,64,56,39","39,000,22,500,28,000,40,000,40,000,33,000,25,000,40,000,24,000,36,000,24,000,39,000,30,000,39,000,35,000,33,000,36,000,40,000,33,000,20,000"
Very Lasalle,"
Santi Phum, Khwaeng Bang Na, Khet Bang Na
",,
ฺBaan Suan Lasalle,"
Soi Khlong Nong Bua, Khwaeng Bang Na, Khet Bang Na
","60,60,60","11,500,12,000,12,000"
The room Sathorn - TanonPun,"
74 Thanon Pan, Khwaeng Silom, Khet Bang Rak
","50,78,83,78,50,46,78,78,50,47,50,49,46,50,50,72.26,50,79,70,78.26","32,000,60,000,30,000,65,000,40,000,37,000,70,000,50,000,35,000,37,000,30,000,37,000,34,000,32,000,32,000,60,000,35,000,58,000,42,000,70,000"
